Interes,Tipo,MontoAsegurado,TipoPago,ModoPago,Fiador,Fiador2,OtroSeguro,Record,Edad,EstadoCivil,Fraude
1,Internacional,11591,A,Cajas,Si,No,No,R0,35,Soltero,No
1,Internacional,12348,A,Cajas,Si,No,No,R0,35,Soltero,No
1,Internacional,12348,A,Cajas,Si,No,No,R0,34,Soltero,No
1,Internacional,10227,A,Cajas,No,No,No,R0,34,Soltero,No
1,Internacional,10530,A,Cajas,No,No,No,R0,32,Soltero,No
1,Internacional,9924,A,Cajas,Si,No,No,R0,34,Soltero,No
1,Internacional,9621,A,Cajas,No,No,No,R0,33,Soltero,No
1,Internacional,10361,A,Cajas,Si,No,No,R0,32,Soltero,No
1,Internacional,8106,A,Cajas,Si,No,No,R0,36,Soltero,No
1,Internacional,10349,A,Cajas,Si,No,No,R0,32,Soltero,No
1,Internacional,13258,A,Cajas,No,No,No,R0,34,Union,No
1,Internacional,10530,A,Cajas,Si,No,No,R0,45,Divorciado,No
5,Internacional,9924,A,Tarjeta,Si,No,No,R0,36,Soltero,No
5,Internacional,13864,A,Tarjeta,Si,Si,No,R0,36,Soltero,No
5,Internacional,8470,A,Tarjeta,No,No,No,R0,42,Soltero,No
5,Internacional,13864,A,Tarjeta,No,No,No,R0,40,Soltero,No
5,Internacional,8712,A,Tarjeta,Si,No,No,R0,39,Soltero,No
5,Internacional,8167,A,Cajas,Si,No,No,R0,43,Soltero,No
5,Internacional,9500,A,Cajas,No,No,No,R0,37,Soltero,No
5,Internacional,9621,A,Cajas,Si,No,No,R0,40,Soltero,No
5,Internacional,8106,A,Cajas,No,No,No,R0,32,Soltero,No
5,Internacional,9773,A,Cajas,Si,No,No,R0,46,Soltero,No
5,Internacional,12652,A,Cajas,Si,Si,No,R0,38,Soltero,No
5,Internacional,9697,A,Cajas,Si,No,No,R0,38,Soltero,No
5,Internacional,11924,A,Cajas,No,No,No,R0,37,Soltero,No
5,Internacional,10076,A,Cajas,No,No,No,R0,34,Soltero,No
5,Internacional,8258,A,Cajas,Si,Si,No,R0,33,Soltero,No
5,Internacional,12197,A,Cajas,Si,Si,No,R0,47,Soltero,No
5,Internacional,9318,A,Cajas,No,No,No,R0,38,Soltero,No
5,Internacional,10561,A,Cajas,Si,Si,No,R0,38,Soltero,No
5,Internacional,14167,A,Cajas,Si,No,No,R0,37,Soltero,No
5,Internacional,8167,A,Cajas,No,No,Si,R1,35,Soltero,No
5,Internacional,8712,A,Cajas,No,No,Si,R1,32,Union,No
5,Internacional,9015,A,Cajas,No,No,No,R0,38,Soltero,No
5,Internacional,9015,A,Cajas,No,No,No,R0,39,Soltero,No
5,Internacional,9409,A,Cajas,Si,No,No,R0,36,Soltero,No
5,Internacional,9318,A,Cajas,Si,Si,No,R0,34,Soltero,No
5,Internacional,8955,A,Cajas,No,No,No,R0,38,Soltero,No
5,Internacional,9348,A,Cajas,No,No,No,R0,42,Soltero,No
5,Internacional,11742,A,Cajas,Si,Si,No,R0,35,Soltero,No
1,Internacional,8318,A,Cajas,Si,No,No,R0,39,Soltero,No
1,Internacional,10227,A,Cajas,No,No,No,R0,37,Soltero,No
1,Internacional,16591,A,Cajas,Si,No,No,R0,36,Soltero,No
1,Internacional,11591,A,Cajas,Si,No,No,R0,35,Soltero,No
1,Internacional,8791,A,Cajas,No,No,No,R0,32,Soltero,No
1,Internacional,10227,A,Cajas,No,No,No,R0,38,Soltero,No
1,Internacional,13258,A,Cajas,Si,No,No,R0,38,Soltero,No
1,Internacional,11197,A,Cajas,No,No,No,R0,39,Soltero,No
1,Internacional,12379,A,Cajas,No,No,No,R0,38,Soltero,No
1,Internacional,11136,A,Cajas,Si,No,No,R0,35,Soltero,No
1,Internacional,10682,A,Cajas,Si,No,No,R0,36,Soltero,No
1,Internacional,10530,A,Cajas,No,No,No,R0,35,Soltero,No
1,Internacional,9621,A,Cajas,No,No,No,R0,43,Union,No
1,Internacional,13258,A,Cajas,Si,No,No,R0,35,Soltero,No
1,Internacional,13106,A,Cajas,Si,No,No,R0,40,Soltero,No
5,Internacional,8282,A,Tarjeta,No,No,No,R0,35,Soltero,No
5,Internacional,8712,A,Tarjeta,No,No,No,R0,37,Divorciado,No
1,Internacional,10985,A,Cajas,Si,Si,No,R0,36,Soltero,No
1,Internacional,13258,A,Cajas,Si,No,Si,R2,39,Soltero,No
17,Nacional,340833,A,Tarjeta,No,No,No,R0,42,Soltero,No
12,Nacional,2522652,A,Tarjeta,Si,Si,No,R0,38,Soltero,No
17,Nacional,401439,A,Tarjeta,Si,No,No,R0,40,Soltero,No
17,Nacional,310530,A,Tarjeta,No,No,Si,R2,39,Soltero,No
17,Nacional,1068106,A,Tarjeta,No,No,No,R0,37,Soltero,No
17,Nacional,189318,A,Tarjeta,No,No,No,R0,36,Soltero,No
17,Nacional,1219621,A,Tarjeta,No,No,No,R0,37,Soltero,No
12,Nacional,643864,A,Tarjeta,No,No,No,R0,34,Soltero,No
18,Nacional,371136,A,Tarjeta,Si,No,Si,R5,39,Soltero,No
18,Nacional,1068106,A,Tarjeta,No,No,No,R0,21,NoAplica,No
17,Nacional,552955,A,Tarjeta,Si,No,No,R0,38,Soltero,No
12,Nacional,710833,A,Tarjeta,No,No,No,R0,33,Soltero,No
12,Nacional,674167,A,Tarjeta,Si,No,No,R0,33,Soltero,No
17,Nacional,174167,A,Tarjeta,No,No,No,R0,33,Soltero,No
17,Nacional,310530,A,Tarjeta,No,No,No,R0,32,Soltero,No
17,Nacional,1219621,A,Tarjeta,Si,No,No,R0,35,Soltero,No
17,Nacional,649318,A,Tarjeta,No,No,Si,R2,37,Soltero,No
17,Nacional,1689318,A,Tarjeta,Si,Si,No,R0,38,Soltero,No
12,Nacional,165076,A,Tarjeta,No,No,No,R0,32,Soltero,No
12,Nacional,613561,A,Tarjeta,No,No,Si,R2,33,Soltero,No
17,Nacional,1255985,A,Tarjeta,No,No,No,R0,35,Soltero,No
17,Nacional,3340833,A,Tarjeta,Si,No,No,R0,42,Soltero,No
17,Nacional,803258,A,Tarjeta,Si,No,No,R0,45,Soltero,No
17,Nacional,916591,A,Tarjeta,No,No,No,R0,32,Soltero,No
18,Nacional,6019621,A,Tarjeta,Si,Si,No,R0,39,Soltero,No
17,Nacional,204470,A,Tarjeta,No,No,No,R0,34,Soltero,No
17,Nacional,2492348,A,Tarjeta,No,No,No,R0,39,Soltero,No
17,Nacional,674167,A,Tarjeta,No,No,No,R0,33,Soltero,No
17,Nacional,1522652,A,Tarjeta,Si,No,No,R0,33,Soltero,No
17,Nacional,765076,A,Tarjeta,No,No,No,R0,34,Soltero,No
17,Nacional,310530,A,Tarjeta,No,No,Si,R5,36,Divorciado,No
18,Nacional,165076,A,Tarjeta,No,No,No,R0,36,Soltero,No
18,Nacional,765076,A,Tarjeta,Si,No,No,R0,32,Soltero,No
17,Nacional,1825682,A,Tarjeta,Si,No,Si,R2,45,Soltero,No
17,Nacional,1431742,A,Tarjeta,No,No,No,R0,35,Soltero,No
17,Nacional,613561,A,Tarjeta,Si,No,No,R0,35,Soltero,No
12,Nacional,765076,A,Tarjeta,Si,No,Si,R1,33,Soltero,No
17,Nacional,310530,A,Tarjeta,Si,No,Si,R1,33,Soltero,No
18,Nacional,583258,A,Tarjeta,No,No,No,R0,48,Divorciado,No
18,Nacional,310530,A,Tarjeta,No,No,Si,R1,33,Soltero,No
17,Nacional,1401439,A,Tarjeta,No,No,Si,R3,36,Soltero,No
12,Nacional,553864,A,Tarjeta,Si,No,No,R0,38,Soltero,No
12,Nacional,462045,A,Tarjeta,No,No,No,R0,41,Soltero,No
17,Nacional,310530,A,Tarjeta,No,No,Si,R6,32,Soltero,No
17,Nacional,355985,A,Tarjeta,Si,No,Si,R1,38,Soltero,No
17,Nacional,310530,A,Tarjeta,Si,Si,No,R0,35,Divorciado,No
17,Nacional,1855985,A,Tarjeta,Si,No,No,R0,37,Soltero,No
17,Nacional,765076,A,Tarjeta,Si,Si,No,R0,37,Soltero,No
17,Nacional,1613561,A,Tarjeta,No,No,No,R0,38,Soltero,No
17,Nacional,431742,A,Tarjeta,Si,No,No,R0,32,Soltero,No
17,Nacional,310530,A,Tarjeta,Si,No,No,R0,33,Soltero,No
17,Nacional,310530,A,Tarjeta,No,No,No,R0,42,Soltero,No
17,Nacional,159015,A,Tarjeta,Si,No,No,R0,36,Soltero,No
17,Nacional,659015,A,Tarjeta,No,No,No,R0,33,Soltero,No
12,Nacional,522652,A,Tarjeta,No,No,No,R0,35,Soltero,No
12,Nacional,1371136,A,Tarjeta,Si,No,No,R0,34,Soltero,No
12,Nacional,401439,A,Tarjeta,No,No,No,R0,36,Soltero,No
17,Nacional,492348,A,Tarjeta,No,No,No,R0,35,Soltero,No
17,Nacional,1825682,A,Tarjeta,Si,No,No,R0,33,Soltero,No
